target,target_s_m,target_length_m,target_nominal_kn2_m3,state_index,direction,direction_family,radius_scale,qx,qy,qk,bump_x_command_m,bump_y_command_m,delta_k2_m3,converged,failure,closed_orbit_seconds,maximum_abs_corrector_delta,maximum_abs_corrector_total,maximum_ring_abs_x_m,maximum_ring_abs_y_m,maximum_bpm_abs_x_m,maximum_bpm_abs_y_m,entry_x,entry_px,entry_y,entry_py,entry_z,entry_pz,exit_x,exit_px,exit_y,exit_py,exit_z,exit_pz
SEX_09AW,50.513,0.272,2.2518524157,1,origin,origin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true,,71.2978179,0.0,0.0,0.00011399957601621516,4.830186209514392e-28,1.0205634039874476e-13,4.66613434248762e-28,-9.579615037913478e-16,1.7509505209626733e-16,1.382235850008675e-28,2.925305156544193e-29,-1.2691232314205747e-14,5.243738078800974e-14,-9.103356496211654e-16,1.7509505209626706e-16,1.4618041502666728e-28,2.9253051565441847e-29,-1.269123221075172e-14,5.243738078800974e-14
SEX_09AW,50.513,0.272,2.2518524157,2,x_m,x_axis,0.25,-0.25,0.0,0.0,-0.00025,0.0,0.0,true,,71.2978179,0.0009682360001402176,0.0009682360001402176,0.0002509250875516222,6.738664614776044e-19,0.00024443660838216393,5.603949590457777e-19,-0.0002499715087232899,1.589297575502927e-5,-2.612213761728456e-20,-1.1032657971869868e-20,-6.731396746421897e-7,-2.9668249011705504e-7,-0.00024565119071758907,1.587416827002531e-5,-2.9122460028618e-20,-1.1028465964409433e-20,-6.731739861647403e-7,-2.9668249011705504e-7
SEX_09AW,50.513,0.272,2.2518524157,3,x_m,x_axis,0.5,-0.5,0.0,0.0,-0.0005,0.0,0.0,true,,71.2978179,0.0019364720002804352,0.0019364720002804352,0.0005017937987930749,1.4594115071261677e-18,0.0004888272453115333,1.3147559866045941e-18,-0.0004998860678011824,3.179549749922693e-5,-7.07102829175489e-20,-2.870371054630342e-20,-1.3519587729890385e-6,-5.980794271467567e-7,-0.0004912479756809698,3.1720284720176846e-5,-7.851466198317563e-20,-2.8681066284932375e-20,-1.3520959371659326e-6,-5.980794271467567e-7
SEX_09AW,50.513,0.272,2.2518524157,4,x_m,x_axis,0.75,-0.75,0.0,0.0,-0.00075,0.0,0.0,true,,71.2978179,0.002904708000420653,0.002904708000420653,0.0007526061808186379,1.9667423165283617e-18,0.0007331719496898761,1.6090091488821498e-18,-0.0007497437247391429,4.770755813428293e-5,-7.567876780585105e-20,-3.360657058927242e-20,-2.0364430579867298e-6,-9.041817240993009e-7,-0.0007367904007314383,4.753836796774826e-5,-8.481487546705374e-20,-3.357004375963206e-20,-2.0367514950265736e-6,-9.041817240993009e-7
SEX_09AW,50.513,0.272,2.2518524157,5,x_m,x_axis,1.0,-1.0,0.0,0.0,-0.001,0.0,0.0,true,,71.2978179,0.0038729440005608705,0.0038729440005608705,0.0010033622781431568,2.7001784107986724e-18,0.000977470757758273,2.246806926438013e-18,-0.0009995445244860824,6.36291501808498e-5,-9.205429193530744e-20,-4.3040511290540386e-20,-2.72657879112551e-6,-1.2149801758703642e-6,-0.0009822785092621395,6.332843621606812e-5,-1.0375338273461117e-19,-4.298109971922202e-20,-2.727126800579606e-6,-1.2149801758703642e-6
SEX_09AW,50.513,0.272,2.2518524157,6,x_m,x_axis,1.25,-1.25,0.0,0.0,-0.00125,0.0,0.0,true,,71.2978179,0.004841180000701088,0.004841180000701088,0.0012540621327266454,3.296605328379881e-18,0.001221723703123433,2.6934687254709843e-18,-0.0012492885094586583,7.956026578354543e-5,-9.5027008643861e-20,-4.821617592677219e-20,-3.4223526241934104e-6,-1.5304656198045423e-6,-0.001227712342240745,7.909050726139901e-5,-1.0813154563659613e-19,-4.813913305078808e-20,-3.4232083852128513e-6,-1.5304656198045423e-6
SEX_09AW,50.513,0.272,2.2518524157,7,x_m,x_axis,1.5,-1.5,0.0,0.0,-0.0015,0.0,0.0,true,,71.2978179,0.005809416000841306,0.005809416000841306,0.0015047057840207314,4.469940926064952e-18,0.0014659308168008152,4.105898475676018e-18,-0.0014989757195877304,9.550089671079147e-5,-2.5828743597304106e-19,-1.031115756132059e-19,-4.123751705227663e-6,-1.8506289613619919e-6,-0.0014730919382556981,9.482459849462869e-5,-2.8630061464405653e-19,-1.0286376765382466e-19,-4.124983276811684e-6,-1.8506289613619919e-6
SEX_09AW,50.513,0.272,2.2518524157,8,x_m,x_axis,2.0,-2.0,0.0,0.0,-0.002,0.0,0.0,true,,71.2978179,0.007745888001121741,0.007745888001121741,0.002005824621846796,5.063371934799777e-18,0.0019542076600526604,3.985489768669748e-18,-0.001998179962451139,0.00012741066973503902,-1.6719523955446347e-19,-8.153813274035735e-20,-5.543376373231875e-6,-2.5049520173382576e-6,-0.0019636885616911496,0.0001262089090762044,-1.8934477906218362e-19,-8.13218684385161e-20,-5.545563263524957e-6,-2.5049520173382576e-6
SEX_09AW,50.513,0.272,2.2518524157,9,x_m,x_axis,2.5,-2.5,0.0,0.0,-0.0025,0.0,0.0,true,,71.2978179,0.009682360001402176,0.009682360001402176,0.0025067190567189266,6.943364203678629e-18,0.0024423014835001674,5.880041272253381e-18,-0.002497157522458545,0.00015935839589356643,-2.239554684267966e-19,-1.0592349103502451e-19,-6.985358868169291e-6,-3.1778748246512343e-6,-0.002454068640328587,0.0001574814990682036,-2.5271845348377935e-19,-1.0556215238666384e-19,-6.988771877173486e-6,-3.1778748246512343e-6
SEX_09AW,50.513,0.272,2.2518524157,10,x_m,x_axis,3.0,-3.0,0.0,0.0,-0.003,0.0,0.0,true,,71.2978179,0.011618832001682611,0.011618832001682611,0.003007389313716519,7.426703455874316e-18,0.0029302124417980744,5.818838920811349e-18,-0.002995908629333661,0.00019134399583702196,-2.3773469357919627e-20,-4.7219249519422923e-20,-8.449612379744595e-6,-3.869322253817836e-6,-0.002944232396950299,0.00018864249324090774,-3.661019739227982e-20,-4.716435788383262e-20,-8.454521354307267e-6,-3.869322253817836e-6
