trial,element_order,element_name,s_m,k2l_m2,source_exposure_h,source_exposure_v,total_projection_numerator,total_contribution_norm_m
1,1,sex_08w,42.907498779194896,0.043392432000000002,9.2280274263785255e-09,3.874845507871542e-09,-4.5327446966235805e-13,1.9135607687015424e-07
1,2,sex_09w,52.349828779194894,-0.24198398400000001,4.4898499299443365e-08,4.5098169702293071e-08,-2.9360632485207751e-14,1.4990539750993437e-08
1,3,sex_10w,58.855398779194893,-0.052531632000000002,2.1762118784224876e-08,3.8127177218456614e-09,2.110709783639071e-12,6.6122568132325562e-07
1,4,sex_11w,67.328070779194874,-0.19752585600000003,2.9022326930910966e-09,2.6946796774436656e-08,-2.7366821807230574e-13,3.9193303812564209e-07
1,5,sex_12w,75.264033779194875,0.12366072000000002,5.3361372828294888e-09,1.8049816625962425e-09,2.4578235327195187e-13,1.2318532130661042e-07
1,6,sex_13w,83.932825779194872,0.32583968000000002,3.7081868909041481e-08,8.1339323391233402e-11,2.5144839564604844e-12,7.5187087239093658e-07
1,7,sex_14w,92.133917779194874,-0.0034363392000000001,1.7388697719935084e-09,8.9040404564325152e-11,-1.903065746352355e-13,6.3476185749175801e-08
1,8,sex_15w,102.25810977919487,-0.34508368000000006,2.6318052954921097e-10,1.0960866109328612e-07,-2.7351385032301948e-12,1.6737489332103417e-06
1,9,sex_16w,110.46430177919487,0.11048177600000003,1.8798200740381886e-08,5.1509321757254146e-09,-2.0192610097322216e-12,6.1227065991045213e-07
1,10,sex_17w,118.66539277919487,-0.125842432,1.465569864446977e-08,2.8589512919101773e-09,1.0355210501578516e-12,2.9064483493525558e-07
1,11,sex_18w,126.86413477919487,0.078568559999999996,3.1401089981104058e-08,8.1922662273343747e-10,-3.7669067884321796e-12,1.2246112305920392e-06
1,12,sex_19w,133.52943477919487,-0.21847203200000001,2.9076569744658631e-08,2.5812911654215663e-08,1.2786627569655856e-13,7.0359577292838233e-08
1,13,sex_20w,141.73732677919489,0.033388272000000004,9.1093800793242825e-09,2.897859294447925e-10,-4.7197437125386201e-14,3.7151759771983814e-07
1,14,sex_21w,149.93926877919489,-0.23265928000000002,2.9340731294012586e-09,4.4728996580981242e-10,-1.2044949930639232e-13,4.9945977533821636e-08
